ID,name,kana,description,URL,Facebook,Instagram,Twitter,image,date,name
1,ADAMat,アダムアット,"2011年12月キーボーディスト、ADAM at（本名の TAMADAを逆から読むとADAM atになることから命名)を中⼼に静岡県浜松市のライヴハウスでインストゥルメンタル セッション バンドとして活動を開始。2014年1月22日 1stミニアルバム「Silent Hill」をインディーズでリリース。発売翌週に追加プレスされる程の反響を呼ぶ。
2015年1月21日 1stフルアルバム「CLOCK　TOWER」でビクターエンタテインメントよりメジャー・デビュー。同年NHKプロ野球放送のテーマ曲として書き下ろした「六三四」は2015年より5年連続でテーマ曲として採用される。
2016年1月20日 2stフルアルバム「スウィートホーム」リリース。タワーレコード年間ジャズ セールス チャートにおいて日本人アーティストとして上原ひろみに続き2位を獲得。2017年1月25日 3rdフルアルバム「Echo Night」をリリースし、タワーレコード年間ジャズ セールス チャートにおいて日本人アーティスト1位を獲得。また7月26日にはPHONO TONESとのスプリットアルバム「Dr.Jekyll」と「Mr.Hyde」をそれぞれリリース。2018年5月9日 4thフルアルバム「サイコブレイク」リリース。タワーレコード年間ジャズ セールス チャートにて日本人アーティストとして2年連続1位を獲得。6月30日には静岡県浜松市にて野外フェス「INST-ALL FESTIVAL2018」を開催。3000人以上を動員する。
2019年6月19日、5thフルアルバム「トワイライトシンドローム」リリース決定。2019年7月7日「INST-ALL FESTIVAL 2019」開催決定。
FUJI ROCK FESTIVAL2019にも出演し、ライブベストアクト2位に選出される。
2020年5月27日、6th「零」をリリース。タワーレコード年間ジャズ セールス チャートにて3位、日本人アーティストとして1位を獲得。
数多くの国内外のフェスティヴァルにも出演する他、テレビ、ラジオのCM音楽やテーマ曲を多数手掛ける。
インストシーンの普及を図るべく、静岡SBSラジオ「ADAM atの詞がないラジオ」とレギュラー番組を担当。",http://adamat.info/,https://www.facebook.com/adamat1026,https://www.instagram.com/adamat1026,https://twitter.com/ADAMat1026,img/ADAM_at1.jpg,2021-08-28,ADAMat
2,韻シスト,インシスト,"生々しく独創的でグルーヴィーなサウンドと極上のライブパフォーマンスが圧倒的な評価を受け続ける、大阪をベースに活動するファンキーグルーヴマスターと称される唯一無二のヒップホップバンド。数度のメンバー・チェンジを経て、MC(サッコン)、Gtr. (TAKU)、Bass (Shyoudog)、Drs.(TAROW-ONE)からなる鉄壁の現メンバーとなる。1998年の結成当初から大阪を拠点として活動し、日本におけるヒップホップ・バンドのパイオニア的存在として、またミュージシャンズ・ミュージシャンとして高い評価を受け続けている。2001年3月、デビュー作となるミニ・アルバム「ONE DAY」(RD RECORDS) をリリース。以来、これまでに5枚のフル・アルバム、4枚のミニアルバム、4枚のシングルをリリース。Shyoudog、TAKU、TAROW-ONEからなる韻シストBANDとしても1枚のアルバムをリリースしている。その他、客演も多数。2016年にはPUSHIMが主催するレーベル“Groovillage”へ合流。6月15日には通算6枚目、約2年8ヶ月振りとなるオリジナル・アルバム「CLASSIX」のリリース。偶数月には大阪、東京での主催イベント「NeighborFood」も開催中。評判が評判を呼び満員御礼で継続開催されるなど、大阪、東京を中心に各地で韻シスト・マニアが確かな足取りで増殖中。2017年7月には、新たな韻シストサウンドを縦横無尽に展開した意欲作「Another Day」をリリース。2018年2月にはPUSHIMとのコラボ・ミニアルバム「TO THE NEXT」をリリース。6月にはバンド結成20周年を記念し、地元なんばHatchでの3daysスペシャルイベントを豪華ゲストを迎え大成功させた。そして、同年8月には20周年記念アルバム「IN-FINITY」を、2019年2月には初のライブ作品「NEW ALBUM IN-FINITY RELEASE TOUR 2018 at UMEDA CLUB QUATTRO」(DVD＋CD)を立て続けにリリース。2019年4月には、超満員の大阪城野外音楽堂で初の主催野外フェス“OSAKA GOOD VIBES”を開催。また、８月には早くもミニアルバム「SHINE」をリリースする。",http://www.in-sist.com/,https://www.facebook.com/%E9%9F%BB%E3%82%B7%E3%82%B9%E3%83%88-471714619598564/,https://www.instagram.com/in_sistagram,https://twitter.com/insist_official,img/insisuto_1.jpg,2021-08-28,韻シスト
3,Wool & The Pants,ウールアンドザパンツ,東京アンダーグラウンド唯一無二の密室的オブスキュア・ミニマル・メロウ・ファンク＆ソウル・グルーヴが圧倒的に癖になるギター、ベース、ドラムのトリオバンド,,,https://www.instagram.com/woolandthepants,,img/Wool & The Pants.jpeg,2021-08-28,Wool & The Pants
5,粉川心,コガワシン,"drummer 粉川 心によるソロプロジェクト。
ドラムを通じた自己表現を探求する中で、アニミズムや禅の持つ美的観念に共鳴し、木と、皮と、鉱物と、身体。ミニマムなスタイルでフリージャズ、スピリチュアルジャズ、民族音楽、環境音楽、ハードコアなどを飲み込んで、生楽器の持つ原始的な強く美しいサウンドに瞬間の感性を落とし込む即興独奏。
TAMA/Bosphorus/Regaltip/エンドーサー。
ex. jizue。
2006年結成のインストバンドjizueでVictor entertainmentよりメジャーデビュー。
これまでに7枚のフルアルバムをリリース。
『FUJI ROCKFESTIVAL』『朝霧JAM』『東京JAZZ』『GREENROOM FESTIVAL』など各地の大型フェスに出演。
国内に留まらず、カナダ、インドネシア、中国、台湾など、海外ツアーも行う。
14年jizueのドラマーとして活動したのち2019年、京都市交響楽団とのオーケストラ公演を最後に脱退。ソロドラマーへ転身する。
翌年2020年には単独東南アジアツアーを行い、帰国後1stソロアルバム『ANIMA』を制作、リリース。
『ANIMA』リリースツアーでは勝井裕二（rovo）柏倉隆史（toe）栗原健（soil&pimp sessions）オオヤユウスケ（Polaris）類家心平、渡辺ショータらと熱演を重ねる。",http://shin0203.wix.com/drum-lesson,,https://www.instagram.com/drum_shinkokawa/?hl=ja,https://twitter.com/Drum_ShinKokawa,img/sin_kokawa.jpg,2021-08-28,粉川心
6,jizue,ジズー,"2006年結成。
これまで6枚のフルアルバムを発表し、そのどれもがロングセラーを記録。ロックや、ハードコアに影響を受けた魂を揺さぶるような力強さ、ジャズの持つスウィング感、叙情的な旋律が絶妙なバランスで混ざり合ったサウンドで、地元京都を中心に人気を高め、『FUJI ROCK FESTIVAL』、『GREENROOM FESTIVAL』、『朝霧JAM』といった大型フェスにも出演。
国内に留まらず、カナダ、インドネシア、中国、台湾など、海外にも進出し、その圧倒的な演奏力で高い評価を得ている。
2017年10月、ミニアルバム『grassroots』でビクターよりメジャー・デビュー。
2018年7月、6枚目のフルアルバム『ROOM』をリリース。
2019年7月、コンセプト・アルバム『gallery』をリリース。
2019年10月には京都市交響楽団サポートによる初のオーケストラ公演を開催。
2020年2月26日、オーケストラでのライブを収録した『jizue orchestra Live at Kyoto Concert Hall 2019.10.19』を配信＆DVDでリリース。
2020年9月、7枚目のフルアルバム『Seeds』をリリース。",https://www.jizue.com/,https://www.facebook.com/jizue,https://www.instagram.com/jizue_jpn,https://twitter.com/jizue,img/jizue.jpeg,2021-08-28,jizue
7,Seiho,セイホ,"大阪出身の電子音楽家、プロデューサー/DJであり、おでん屋「そのとうり」、和菓子屋「かんたんなゆめ」のプロデュースも務める。
2010年代の国内外エレクトロニック・ミュージック・シーンにおけるキーパーソン。
これまでにフライング・ロータス、ディスクロージャー、マシュー・ハーバート、カシミア・キャットらとの共演や、
平井堅、Chara+YUKI、三浦大知、矢野顕子、PUNPEEらへのプロデュース・ワーク、
Avec Avecとのポップ・デュオ「Sugar’s Campaign」としての活動など、
表と裏の舞台を行き来しながら常にカッティング・エッジな音楽を提供し続け、
その非凡な音楽性はもとより、アートや哲学領域にも精通する類稀なセンスには多方面から常に注目が集まる。
2021年5月、Amazon Musicの新企画「PRODUCERS」第1弾プロデューサーに選出され、ACO、ASOBOiSM、BTB特効、cero、KID FRESINO、LUVRAW、鎮座DOPENESSをフィーチャリングに迎えたミニアルバム『CAMP』をリリース。",,,https://www.instagram.com/seiho777,https://twitter.com/seiho777,img/IMG_6954.jpg,2021-08-28,Seiho
8,TASQ,タスク,"福井県出身のラッパー/作曲家/医師。バックトラックにより全く変化するラップのフロー、表現に重さを置いたリリック、guitar、bass、violin等の生楽器演奏とサンプリングを混ぜたトラックメイクなどマルチで幅広い楽曲を制作。HIPHOP Band「Nicetime Workerz」のリーダーとしても活動。YAMAHA主催大会The Music Revolutionでは約5000組の中から10組ほどの最終選考に選出、Zepp diversity Tokyo出演。大阪老舗イベントLove sofaでサンデーカミデや奇妙礼太郎らと共に3年間レギュラーメンバーと務めた。流派-R「R-FESTA」に出演し唾奇たRude-&alphaらと共演、そのほかハンブレッダーズやthe engyなどロックバンドとも交流が深い。2020年8月よりソロでプレ活動を開始。初作品にして気鋭のHIPHOPチャンネルPRKS9アカウントからから「サマータイムマシン グルーヴ」ミュージックビデオが配信。
2021年春よりソロ活動を本格始動する。1st EP「Light,Camera,Fiction」をリリース。
過去共演アーティスト例：ハンブレッダーズ、the engy、吉田省念、唾奇、WILYWNKA、Rude-&alpha、Brian the sun、ワンダフルボーイズ、やついいちろう、金ウリョン、チプルソ、踊る！ディスコ室町…その他多数。",,,https://www.instagram.com/tasq0727/,https://twitter.com/tasuku0727,img/TASQ2.jpg,2021-08-28,TASQ
9,チプルソ,チプルソ,服部緑地公園rep.のRapper/Beat Maker。 NoDJ1MC⦆LIVEで永続的に全国をまわってい る。FreeStyleでも有名で、多くの優勝・Best Boutを残しYouTubeの総再生回数は2000万回を 超えている。彼の作品は熱望する店舗のみ販 売されており 、発表1年で全国にて完売したその「一人宇宙I」には2万円以上の値が付けられ 、続いて発表された「一人宇宙II」は在庫有りにも関わらず1万円近くの値段で取引される事となった。,http://tipleso.blog3.fc2.com/,,https://www.instagram.com/tpls.medical_music/,https://twitter.com/chipuruso4545,img/chipuruso.jpg,2021-08-28,チプルソ
10,DJ YASA,ディージェーヤサ,"DJを始めてわずか3年にして世界最大規模のDJバトル、DMC WORLD DJ CHAMPIONSHIP 2003において日本チャンプに輝くと、ロンドンで行われた世界大会で世界4位という衝撃デビューを果たす。
その翌年、盟友 HI-C（DMC JAPAN DJ Championship 2014 Champ）とターンテーブリズムユニット『Kireek』を結成。
2006年 DMC WORLD CHAMPIONSHIPでは2度目の日本チャンピオン、さらにWORLD FINALで会場に集まった様々な国の人々を興奮の渦へ誘い、堂々の第２位の座を獲得し世界に日本の名を刻み込んだ。
Kireekとしての活動では、2007年日本が世界に誇る野外フェス FUJI ROCK FESTIVALに出演。同年のDMC WORLD CHAMPIONSHIP TEAM部門において、ドイツ、フランス、イギリスなどの強豪国を抑え初出場にしてアジア初の世界王座に輝くと、続く08年、09年、10年、11年と防衛王者として世界記録の5連覇の偉業を成し遂げた。
その独特なサウンドスタイルが評価され、ロンドンでNIKE DESTROYERジャケットを記念したイベントや、モスクワで行われたTOYOTA IQのロシア発売イベント、中国ツアーなど海外でも注目される。
2013年には音楽レーベル “PLANT RECORDS” 設立。
初オリジナルトラック作品『Useful For Mind』12inch EPのリリースきっかけに
1st Album 『MIND ADVANCE』リリース。
それから自身のオリジナル楽曲作りにハマり、数々のリリースを続けている。
2016年クロアチアで開催される世界最大の“ベース・ミュージックとサウンドシステム・カルチャー”のフェスティバル『OUTLOOK FESTIVAL』のローンチ・パーティ、”OUTLOOK FESTIVAL JAPAN LAUNCH PARTY”にて行われる
「Red Bull Culture Clash」の日本版ともいえる「OUTLOOK.JP SOUNDCLASH 2016」にKIREEKとして出場し優勝している。
DJ Battle以外でも功績を叩き出した。
そして2018年KIREEKを解散。
それぞれの音楽感への追求に道を進める。
2019年 OILWORKSよりビートアルバム『KIBUN』リリース。
ビートメイカー×ターンテーブリストという新しいスタイルのアプローチを世間に提示した。
オリジナルビートを武器にターンテーブルを楽器のように乗りこなすDJの一人。
ジャンルを超越した選曲、2枚のレコードを駆使し作り出されるサウンドストーリーや幻想的演奏スクラッチなど、他とは一線を隔す衝撃のライブを約束しよう。",http://www.plantrec.com/,,,,img/djyasa.jpg,2021-08-28,DJ YASA
11,DUENDE,デゥエンデ,"NAGAN SERVER（Vo）、安藤康平 from. MELRAW（Sax）、熊代崇人（Ba）、中村海斗（Dr）による4人組エクスペリメント・ヒップホップバンド。ブラックミュージックを中心に、先人達によって導かれた様々な音楽マナーを経由し、誰も成し得なかった数々の選択が、全く新しい描線となり新境地を目指す。",,,,,img/DUENDE.jpg,2021-08-28,DUENDE
12,DENIMS,デニムス,"古い物好きだけど新しい事をしたい。大人だけど子供のように。お洒落だけど泥臭い。
そんなバンド。2012年 大阪堺にてDENIMS結成。
2015年 自主レーベルOSAMIstudio.から初の全国流通盤となる1st Mini Album “Daily use” をリリース。
2016年 2nd Mini Album“iggy&pops”をリリース、ツアーファイナル@東心斎橋CONPASS初ワンマンはソールド。
同年、FUJI ROCK FESTIVAL’16出演。2017年 1st full album”DENIMS”をリリース。VIVA LA ROCK 2017出演。
2018年　東名阪福、4都市のワンマンツアーを行い全公演ソールドアウト。
大阪・味園ユニバースにてDENIMS主催フェス”ODD SAFARI”を開催し、700人動員しソールドアウト。
RUSH BALL 2018出演。2019年　V6 50thシングルCPに「そんな顔しなくたっていい」を楽曲提供。",http://denim-s.jp/,https://www.facebook.com/DENIMS.jp,https://www.instagram.com/denims_official,https://twitter.com/DENIMS_official,img/DENIMS_A_201225.jpg,2021-08-28,DENIMS
4,HAS a.k.a. EL ×Waves,エル,"福井県出身　MC
2003年 上京と共に都内クラブにて月最高14本のライブをこなす
その他、オーガナイザーとして都内で毎月イベントを企画するなど精力的に活動
2012年に日本屈指のＪＡＺＺレーベルの名門
株式会社アート・ユニオン　レコードより日本人では初となるＨＩＰＨＯＰアーティストとして待望の 1st アルバム【ＬＡＢＯＲ】の全国リリースを果たす
2018年9月7日 TOYBOX Records より2ndアルバム【DIG THE LIFE】をリリース
2018年 DIG THE LIFEより ＃8 DOTEが㈱田中化学研究所のCMソングに楽曲提供される
2019年 福井県最大級の祭りフェニックス祭りで、MCバトルを企画運営する
2020年　what's going's on デジタルシングルをリリース",,,,,img/HAS a.k.a EL.jpg,2021-08-28,HAS a.k.a. EL ×Waves
